Country or Area,Year,Value
Afghanistan,2015,26.8
Albania,2015,5
Algeria,2015,5
American Samoa,2015,
Andorra,2015,5
Angola,2015,14.2
Anguilla,2015,
Antigua and Barbuda,2015,
Argentina,2015,5
Armenia,2015,5.8
Aruba,2015,
Australia,2015,5
Austria,2015,5
Azerbaijan,2015,5
Bahamas,2015,
Bahrain,2015,
Bangladesh,2015,16.4
Barbados,2015,5
Belarus,2015,5
Belgium,2015,5
Belize,2015,6.2
Benin,2015,7.5
Bermuda,2015,5
Bhutan,2015,
Bolivia,2015,15.9
Bosnia and Herzegovina,2015,5
Botswana,2015,24.1
Brazil,2015,5
British Virgin Islands,2015,
Brunei Darussalam,2015,5
Bulgaria,2015,5
Burkina Faso,2015,20.7
Burundi,2015,
Cambodia,2015,14.2
Cameroon,2015,9.9
Canada,2015,5
Cape Verde,2015,9.4
Cayman Islands,2015,
Central African Republic,2015,47.7
Chad,2015,34.4
Chile,2015,5
China,2015,9.3
Colombia,2015,8.8
Comoros,2015,
Congo,2015,30.5
Cook Islands,2015,
Costa Rica,2015,5
Cote d'Ivoire,2015,13.3
Croatia,2015,5
Cuba,2015,5
Cyprus,2015,5
Czech Republic,2015,5
Democratic Republic of the Congo,2015,
Denmark,2015,5
Djibouti,2015,15.9
Dominica,2015,
Dominican Republic,2015,12.3
Ecuador,2015,10.9
Egypt,2015,5
El Salvador,2015,12.4
Equatorial Guinea,2015,
Eritrea,2015,
Estonia,2015,5
Ethiopia,2015,32
Faeroe Islands,2015,5
Fiji,2015,5
Finland,2015,5
France,2015,5
French Guiana,2015,
French Polynesia,2015,
Gabon,2015,5
Gambia,2015,5.3
Georgia,2015,7.4
Germany,2015,5
Ghana,2015,5
Gibraltar,2015,5
Greece,2015,5
Greenland,2015,5
Grenada,2015,
Guadeloupe,2015,
Guam,2015,
Guatemala,2015,15.6
Guinea,2015,16.4
Guinea-Bissau,2015,20.7
Guyana,2015,10.6
Haiti,2015,53.4
Honduras,2015,12.2
Hungary,2015,5
Iceland,2015,5
India,2015,15.2
Indonesia,2015,7.6
Iran (Islamic Republic of),2015,5
Iraq,2015,22.8
Ireland,2015,5
Israel,2015,5
Italy,2015,5
Jamaica,2015,8.1
Japan,2015,5
Jordan,2015,5
Kazakhstan,2015,5
Kenya,2015,21.2
Kiribati,2015,5
"Korea, Democratic People's Republic of",2015,41.6
"Korea, Republic of",2015,5
Kuwait,2015,5
Kyrgyzstan,2015,6
Lao People's Democratic Republic,2015,18.5
Latvia,2015,5
Lebanon,2015,5
Lesotho,2015,11.2
Liberia,2015,31.9
Libyan Arab Jamahiriya,2015,
Liechtenstein,2015,5
Lithuania,2015,5
Luxembourg,2015,5
Madagascar,2015,33
Malawi,2015,20.7
Malaysia,2015,5
Maldives,2015,5.2
Mali,2015,5
Malta,2015,5
Marshall Islands,2015,
Martinique,2015,
Mauritania,2015,5.6
Mauritius,2015,5
Mayotte,2015,
Mexico,2015,5
"Micronesia, Federated States of",2015,
Monaco,2015,5
Mongolia,2015,20.5
Montenegro,2015,5
Montserrat,2015,
Morocco,2015,5
Mozambique,2015,25.3
Myanmar,2015,14.2
Namibia,2015,42.3
Nauru,2015,
Nepal,2015,7.8
Netherlands,2015,5
New Caledonia,2015,
New Zealand,2015,5
Nicaragua,2015,16.6
Niger,2015,9.5
Nigeria,2015,7
Niue,2015,
Northern Mariana Islands,2015,
Norway,2015,5
Oman,2015,5
Pakistan,2015,22
Palau,2015,
Panama,2015,9.5
Papua New Guinea,2015,
Paraguay,2015,10.4
Peru,2015,7.5
Philippines,2015,13.5
Poland,2015,5
Portugal,2015,5
Puerto Rico,2015,
Qatar,2015,
Republic of Moldova,2015,5
Reunion,2015,
Romania,2015,5
Russian Federation,2015,5
Rwanda,2015,31.6
Saint Helena,2015,
Saint Kitts and Nevis,2015,
Saint Lucia,2015,
Saint Pierre and Miquelon,2015,5
Saint Vincent and the Grenadines,2015,6.2
Samoa,2015,5
San Marino,2015,5
Sao Tome and Principe,2015,6.6
Saudi Arabia,2015,5
Senegal,2015,24.6
Serbia,2015,5
Seychelles,2015,
Sierra Leone,2015,22.3
Singapore,2015,
Slovakia,2015,5
Slovenia,2015,5
Solomon Islands,2015,11.3
Somalia,2015,
South Africa,2015,5
South Sudan,2015,
Spain,2015,5
Sri Lanka,2015,22
State of Palestine,2015,
Sudan,2015,
Sudan (former),2015,
Suriname,2015,8
Swaziland,2015,26.8
Sweden,2015,5
Switzerland,2015,5
Syrian Arab Republic,2015,
Tajikistan,2015,33.2
Thailand,2015,7.4
The former Yugoslav Republic of Macedonia,2015,5
Timor-Leste,2015,26.9
Togo,2015,11.4
Tokelau,2015,
Tonga,2015,
Trinidad and Tobago,2015,7.4
Tunisia,2015,5
Turkey,2015,5
Turkmenistan,2015,5
Turks and Caicos Islands,2015,
Tuvalu,2015,
Uganda,2015,25.5
Ukraine,2015,5
United Arab Emirates,2015,5
United Kingdom,2015,5
United Republic of Tanzania,2015,32.1
United States,2015,5
United States Virgin Islands,2015,
Uruguay,2015,5
Uzbekistan,2015,5
Vanuatu,2015,6.4
Venezuela,2015,5
Viet Nam,2015,11
Wallis and Futuna Islands,2015,
Western Sahara,2015,
Yemen,2015,26.1
Zambia,2015,47.8
Zimbabwe,2015,33.4
